any_presentation_artifact,fixture_id,llm_activity_like_fragment,llm_any_presentation_artifact,llm_avg_hr,llm_duration_text_inconsistency,llm_elevation_or_vertical,llm_ellipsis,llm_km_unit,llm_plan_id,llm_trailrun_pipe,pair_id,programmatic_activity_like_fragment,programmatic_any_presentation_artifact,programmatic_avg_hr,programmatic_duration_text_inconsistency,programmatic_elevation_or_vertical,programmatic_ellipsis,programmatic_km_unit,programmatic_plan_id,programmatic_trailrun_pipe,source_model_family
1,ab_A1__r_high__rc_high__ph_peak,1,1,1,0,0,1,1,ab_A1__r_high__rc_high__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s001,1,pair_0010,0,0,0,0,0,0,0,ab_A1__r_high__rc_high__ph_peak__prog__exp_t000__s016,0,qwen
1,ab_A1__r_high__rc_low__ph_base,0,1,0,0,0,1,0,ab_A1__r_high__rc_low__ph_base__gemma_3_4b_it__src_t070__exp_t000__s000,0,pair_0011,0,0,0,0,0,0,0,ab_A1__r_high__rc_low__ph_base__prog__exp_t000__s016,0,gemma
1,ab_A1__r_high__rc_low__ph_base,1,1,1,1,0,1,1,ab_A1__r_high__rc_low__ph_base__gemma_3_4b_it__src_t070__exp_t000__s001,1,pair_0012,0,0,0,0,0,0,0,ab_A1__r_high__rc_low__ph_base__prog__exp_t000__s019,0,gemma
1,ab_A1__r_high__rc_low__ph_base,1,1,1,0,0,0,1,ab_A1__r_high__rc_low__ph_base__gemma_3_4b_it__src_t070__exp_t000__s002,1,pair_0013,0,0,0,0,0,0,0,ab_A1__r_high__rc_low__ph_base__prog__exp_t000__s009,0,gemma
0,ab_A1__r_high__rc_low__ph_base,0,0,0,0,0,0,0,ab_A1__r_high__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s001,0,pair_0014,0,0,0,0,0,0,0,ab_A1__r_high__rc_low__ph_base__prog__exp_t000__s008,0,qwen
0,ab_A1__r_high__rc_low__ph_base,0,0,0,0,0,0,0,ab_A1__r_high__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s000,0,pair_0015,0,0,0,0,0,0,0,ab_A1__r_high__rc_low__ph_base__prog__exp_t000__s002,0,qwen
1,ab_A1__r_high__rc_low__ph_base,1,1,1,0,0,1,1,ab_A1__r_high__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s002,1,pair_0016,0,0,0,0,0,0,0,ab_A1__r_high__rc_low__ph_base__prog__exp_t000__s010,0,qwen
1,ab_A1__r_high__rc_low__ph_base,1,1,1,0,0,1,1,ab_A1__r_high__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s004,1,pair_0017,0,0,0,0,0,0,0,ab_A1__r_high__rc_low__ph_base__prog__exp_t000__s011,0,qwen
1,ab_A1__r_high__rc_low__ph_base,0,1,0,0,0,1,0,ab_A1__r_high__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s003,0,pair_0018,0,0,0,0,0,0,0,ab_A1__r_high__rc_low__ph_base__prog__exp_t000__s006,0,qwen
1,ab_A1__r_high__rc_low__ph_peak,1,1,1,1,0,1,1,ab_A1__r_high__rc_low__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s000,1,pair_0019,0,0,0,0,0,0,0,ab_A1__r_high__rc_low__ph_peak__prog__exp_t000__s014,0,gemma
0,ab_A1__r_high__rc_low__ph_peak,0,0,0,0,0,0,0,ab_A1__r_high__rc_low__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s006,0,pair_0020,0,0,0,0,0,0,0,ab_A1__r_high__rc_low__ph_peak__prog__exp_t000__s008,0,qwen
0,ab_A1__r_high__rc_low__ph_peak,0,0,0,0,0,0,0,ab_A1__r_high__rc_low__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s000,0,pair_0021,0,0,0,0,0,0,0,ab_A1__r_high__rc_low__ph_peak__prog__exp_t000__s004,0,qwen
1,ab_A1__r_high__rc_low__ph_peak,1,1,1,0,0,1,1,ab_A1__r_high__rc_low__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s002,1,pair_0022,0,0,0,0,0,0,0,ab_A1__r_high__rc_low__ph_peak__prog__exp_t000__s010,0,qwen
0,ab_A1__r_high__rc_low__ph_peak,0,0,0,0,0,0,0,ab_A1__r_high__rc_low__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s004,0,pair_0023,0,0,0,0,0,0,0,ab_A1__r_high__rc_low__ph_peak__prog__exp_t000__s013,0,qwen
1,ab_A1__r_low__rc_high__ph_base,1,1,0,0,0,1,1,ab_A1__r_low__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s000,0,pair_0024,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s017,0,gemma
1,ab_A1__r_low__rc_high__ph_base,1,1,0,0,0,0,1,ab_A1__r_low__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s001,0,pair_0025,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s011,0,gemma
1,ab_A1__r_low__rc_high__ph_base,0,1,0,0,0,1,0,ab_A1__r_low__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s002,0,pair_0026,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s005,0,gemma
1,ab_A1__r_low__rc_high__ph_base,1,1,0,0,0,1,1,ab_A1__r_low__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s003,0,pair_0027,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s019,0,gemma
0,ab_A1__r_low__rc_high__ph_base,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s013,0,pair_0028,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s002,0,qwen
0,ab_A1__r_low__rc_high__ph_base,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s022,0,pair_0029,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s014,0,qwen
1,ab_A1__r_low__rc_high__ph_base,0,1,0,0,0,1,0,ab_A1__r_low__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s039,0,pair_0030,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s001,0,qwen
0,ab_A1__r_low__rc_high__ph_base,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s015,0,pair_0031,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s021,0,qwen
0,ab_A1__r_low__rc_high__ph_base,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s028,0,pair_0032,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s000,0,qwen
1,ab_A1__r_low__rc_high__ph_base,1,1,1,0,0,0,1,ab_A1__r_low__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s016,1,pair_0033,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s004,0,qwen
1,ab_A1__r_low__rc_high__ph_peak,1,1,0,0,1,1,1,ab_A1__r_low__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s000,0,pair_0034,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_peak__prog__exp_t000__s017,0,gemma
1,ab_A1__r_low__rc_high__ph_peak,1,1,1,0,0,0,1,ab_A1__r_low__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s001,1,pair_0035,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_peak__prog__exp_t000__s005,0,gemma
1,ab_A1__r_low__rc_high__ph_peak,1,1,0,0,1,1,1,ab_A1__r_low__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s002,0,pair_0036,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_peak__prog__exp_t000__s019,0,gemma
0,ab_A1__r_low__rc_high__ph_peak,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s006,0,pair_0037,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_peak__prog__exp_t000__s002,0,qwen
0,ab_A1__r_low__rc_high__ph_peak,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s001,0,pair_0038,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_peak__prog__exp_t000__s003,0,qwen
0,ab_A1__r_low__rc_high__ph_peak,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s007,0,pair_0039,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_peak__prog__exp_t000__s001,0,qwen
1,ab_A1__r_low__rc_high__ph_peak,1,1,1,1,0,1,1,ab_A1__r_low__rc_high__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s016,1,pair_0040,0,0,0,0,0,0,0,ab_A1__r_low__rc_high__ph_peak__prog__exp_t000__s004,0,qwen
1,ab_A1__r_low__rc_low__ph_base,1,1,0,0,0,0,1,ab_A1__r_low__rc_low__ph_base__gemma_3_4b_it__src_t070__exp_t000__s000,0,pair_0041,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_base__prog__exp_t000__s017,0,gemma
0,ab_A1__r_low__rc_low__ph_base,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_base__gemma_3_4b_it__src_t070__exp_t000__s001,0,pair_0042,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_base__prog__exp_t000__s005,0,gemma
1,ab_A1__r_low__rc_low__ph_base,1,1,1,1,0,0,1,ab_A1__r_low__rc_low__ph_base__gemma_3_4b_it__src_t070__exp_t000__s002,1,pair_0043,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_base__prog__exp_t000__s019,0,gemma
1,ab_A1__r_low__rc_low__ph_base,1,1,0,0,0,1,1,ab_A1__r_low__rc_low__ph_base__gemma_3_4b_it__src_t070__exp_t000__s003,0,pair_0044,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_base__prog__exp_t000__s013,0,gemma
1,ab_A1__r_low__rc_low__ph_base,0,1,0,0,0,1,0,ab_A1__r_low__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s003,0,pair_0045,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_base__prog__exp_t000__s002,0,qwen
1,ab_A1__r_low__rc_low__ph_base,0,1,0,0,0,1,0,ab_A1__r_low__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s005,0,pair_0046,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_base__prog__exp_t000__s014,0,qwen
1,ab_A1__r_low__rc_low__ph_base,1,1,1,0,0,1,1,ab_A1__r_low__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s006,1,pair_0047,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_base__prog__exp_t000__s011,0,qwen
1,ab_A1__r_low__rc_low__ph_base,0,1,0,0,0,1,0,ab_A1__r_low__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s007,0,pair_0048,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_base__prog__exp_t000__s001,0,qwen
0,ab_A1__r_low__rc_low__ph_base,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s009,0,pair_0049,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_base__prog__exp_t000__s006,0,qwen
1,ab_A1__r_low__rc_low__ph_base,0,1,0,0,0,1,0,ab_A1__r_low__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s008,0,pair_0050,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_base__prog__exp_t000__s007,0,qwen
1,ab_A1__r_low__rc_low__ph_peak,1,1,1,1,0,1,1,ab_A1__r_low__rc_low__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s000,1,pair_0051,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_peak__prog__exp_t000__s005,0,gemma
1,ab_A1__r_low__rc_low__ph_peak,0,1,0,0,0,1,0,ab_A1__r_low__rc_low__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s001,0,pair_0052,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_peak__prog__exp_t000__s019,0,gemma
1,ab_A1__r_low__rc_low__ph_peak,1,1,1,1,0,0,1,ab_A1__r_low__rc_low__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s002,1,pair_0053,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_peak__prog__exp_t000__s017,0,gemma
0,ab_A1__r_low__rc_low__ph_peak,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s003,0,pair_0054,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_peak__prog__exp_t000__s013,0,gemma
0,ab_A1__r_low__rc_low__ph_peak,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s000,0,pair_0055,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_peak__prog__exp_t000__s002,0,qwen
0,ab_A1__r_low__rc_low__ph_peak,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s001,0,pair_0056,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_peak__prog__exp_t000__s014,0,qwen
0,ab_A1__r_low__rc_low__ph_peak,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s007,0,pair_0057,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_peak__prog__exp_t000__s001,0,qwen
0,ab_A1__r_low__rc_low__ph_peak,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s008,0,pair_0058,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_peak__prog__exp_t000__s008,0,qwen
0,ab_A1__r_low__rc_low__ph_peak,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s015,0,pair_0059,0,0,0,0,0,0,0,ab_A1__r_low__rc_low__ph_peak__prog__exp_t000__s007,0,qwen
1,ab_A2__r_high__rc_high__ph_base,1,1,1,0,0,1,1,ab_A2__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s172,0,pair_0060,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_base__prog__exp_t000__s011,0,gemma
1,ab_A2__r_high__rc_high__ph_base,1,1,0,0,0,1,1,ab_A2__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s170,0,pair_0061,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_base__prog__exp_t000__s005,0,gemma
1,ab_A2__r_high__rc_high__ph_base,1,1,1,1,0,0,1,ab_A2__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s173,1,pair_0062,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_base__prog__exp_t000__s013,0,gemma
1,ab_A2__r_high__rc_high__ph_base,1,1,0,1,0,1,1,ab_A2__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s169,1,pair_0063,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_base__prog__exp_t000__s018,0,gemma
1,ab_A2__r_high__rc_high__ph_base,0,1,0,0,0,1,0,ab_A2__r_high__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s175,0,pair_0064,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_base__prog__exp_t000__s002,0,gemma
0,ab_A2__r_high__rc_high__ph_base,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s001,0,pair_0065,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_base__prog__exp_t000__s008,0,qwen
0,ab_A2__r_high__rc_high__ph_base,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s010,0,pair_0066,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_base__prog__exp_t000__s012,0,qwen
0,ab_A2__r_high__rc_high__ph_base,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s006,0,pair_0067,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_base__prog__exp_t000__s015,0,qwen
1,ab_A2__r_high__rc_high__ph_peak,1,1,0,0,0,0,1,ab_A2__r_high__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s248,0,pair_0068,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_peak__prog__exp_t000__s000,0,gemma
1,ab_A2__r_high__rc_high__ph_peak,1,1,0,0,0,1,1,ab_A2__r_high__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s249,0,pair_0069,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_peak__prog__exp_t000__s006,0,gemma
0,ab_A2__r_high__rc_high__ph_peak,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s009,0,pair_0070,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_peak__prog__exp_t000__s005,0,qwen
0,ab_A2__r_high__rc_high__ph_peak,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s004,0,pair_0071,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_peak__prog__exp_t000__s018,0,qwen
0,ab_A2__r_high__rc_high__ph_peak,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s008,0,pair_0072,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_peak__prog__exp_t000__s012,0,qwen
1,ab_A2__r_high__rc_high__ph_peak,1,1,0,0,0,0,1,ab_A2__r_high__rc_high__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s015,0,pair_0073,0,0,0,0,0,0,0,ab_A2__r_high__rc_high__ph_peak__prog__exp_t000__s013,0,qwen
1,ab_A2__r_high__rc_low__ph_base,1,1,0,1,0,1,1,ab_A2__r_high__rc_low__ph_base__gemma_3_4b_it__src_t070__exp_t000__s000,1,pair_0074,0,0,0,0,0,0,0,ab_A2__r_high__rc_low__ph_base__prog__exp_t000__s013,0,gemma
0,ab_A2__r_high__rc_low__ph_base,0,0,0,0,0,0,0,ab_A2__r_high__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s002,0,pair_0075,0,0,0,0,0,0,0,ab_A2__r_high__rc_low__ph_base__prog__exp_t000__s002,0,qwen
0,ab_A2__r_high__rc_low__ph_base,0,0,0,0,0,0,0,ab_A2__r_high__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s000,0,pair_0076,0,0,0,0,0,0,0,ab_A2__r_high__rc_low__ph_base__prog__exp_t000__s006,0,qwen
0,ab_A2__r_high__rc_low__ph_base,0,0,0,0,0,0,0,ab_A2__r_high__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s004,0,pair_0077,0,0,0,0,0,0,0,ab_A2__r_high__rc_low__ph_base__prog__exp_t000__s014,0,qwen
1,ab_A2__r_high__rc_low__ph_base,0,1,0,0,0,1,0,ab_A2__r_high__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s006,0,pair_0078,0,0,0,0,0,0,0,ab_A2__r_high__rc_low__ph_base__prog__exp_t000__s010,0,qwen
1,ab_A2__r_high__rc_low__ph_peak,1,1,0,0,1,1,1,ab_A2__r_high__rc_low__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s000,0,pair_0079,0,0,0,0,0,0,0,ab_A2__r_high__rc_low__ph_peak__prog__exp_t000__s005,0,gemma
0,ab_A2__r_high__rc_low__ph_peak,0,0,0,0,0,0,0,ab_A2__r_high__rc_low__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s001,0,pair_0080,0,0,0,0,0,0,0,ab_A2__r_high__rc_low__ph_peak__prog__exp_t000__s004,0,gemma
0,ab_A2__r_high__rc_low__ph_peak,0,0,0,0,0,0,0,ab_A2__r_high__rc_low__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s001,0,pair_0081,0,0,0,0,0,0,0,ab_A2__r_high__rc_low__ph_peak__prog__exp_t000__s006,0,qwen
0,ab_A2__r_high__rc_low__ph_peak,0,0,0,0,0,0,0,ab_A2__r_high__rc_low__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s000,0,pair_0082,0,0,0,0,0,0,0,ab_A2__r_high__rc_low__ph_peak__prog__exp_t000__s010,0,qwen
0,ab_A2__r_high__rc_low__ph_peak,0,0,0,0,0,0,0,ab_A2__r_high__rc_low__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s003,0,pair_0083,0,0,0,0,0,0,0,ab_A2__r_high__rc_low__ph_peak__prog__exp_t000__s002,0,qwen
1,ab_A2__r_low__rc_high__ph_base,1,1,0,1,0,1,1,ab_A2__r_low__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s002,0,pair_0084,0,0,0,0,0,0,0,ab_A2__r_low__rc_high__ph_base__prog__exp_t000__s011,0,gemma
1,ab_A2__r_low__rc_high__ph_base,1,1,0,0,0,0,1,ab_A2__r_low__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s000,0,pair_0085,0,0,0,0,0,0,0,ab_A2__r_low__rc_high__ph_base__prog__exp_t000__s017,0,gemma
1,ab_A2__r_low__rc_high__ph_base,0,1,0,0,0,1,0,ab_A2__r_low__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s001,0,pair_0086,0,0,0,0,0,0,0,ab_A2__r_low__rc_high__ph_base__prog__exp_t000__s020,0,gemma
1,ab_A2__r_low__rc_high__ph_base,0,1,0,0,0,1,0,ab_A2__r_low__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s004,0,pair_0087,0,0,0,0,0,0,0,ab_A2__r_low__rc_high__ph_base__prog__exp_t000__s005,0,gemma
0,ab_A2__r_low__rc_high__ph_base,0,0,0,0,0,0,0,ab_A2__r_low__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s002,0,pair_0088,0,0,0,0,0,0,0,ab_A2__r_low__rc_high__ph_base__prog__exp_t000__s008,0,qwen
0,ab_A2__r_low__rc_high__ph_base,0,0,0,0,0,0,0,ab_A2__r_low__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s005,0,pair_0089,0,0,0,0,0,0,0,ab_A2__r_low__rc_high__ph_base__prog__exp_t000__s010,0,qwen
0,ab_A2__r_low__rc_high__ph_base,0,0,0,0,0,0,0,ab_A2__r_low__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s004,0,pair_0090,0,0,0,0,0,0,0,ab_A2__r_low__rc_high__ph_base__prog__exp_t000__s006,0,qwen
0,ab_A2__r_low__rc_high__ph_base,0,0,0,0,0,0,0,ab_A2__r_low__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s001,0,pair_0091,0,0,0,0,0,0,0,ab_A2__r_low__rc_high__ph_base__prog__exp_t000__s009,0,qwen
1,ab_A2__r_low__rc_high__ph_base,0,1,0,0,0,1,0,ab_A2__r_low__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s000,0,pair_0092,0,0,0,0,0,0,0,ab_A2__r_low__rc_high__ph_base__prog__exp_t000__s002,0,qwen
