confidence,fixture_id,judge,judge_model_family,llm_won,marker,order,pair_id,plan_a_score,plan_b_score,preferred,rationale,record_id,run,self_family_match,source_model_family,winner_role
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,plan_coherence,BA,pair_0000,5,3,plan_a,"Plan A's structure feels more logical and flows better, with a clear progression.",pair_0000__gemma_4b_judge__r00__BA,0,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,quality_session_design,BA,pair_0000,4,3,plan_a,"Plan A includes a mix of long runs, tempo runs, and cross-training, offering varied quality sessions.",pair_0000__gemma_4b_judge__r00__BA,0,True,gemma,programmatic
0.7,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,,readiness_alignment,BA,pair_0000,3,3,tie,"Both plans lack specific readiness considerations, a common limitation.",pair_0000__gemma_4b_judge__r00__BA,0,True,gemma,tie
0.75,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,recovery_safety,BA,pair_0000,4,3,plan_a,"Plan A has a dedicated rest day and spacing of hard days, promoting recovery.",pair_0000__gemma_4b_judge__r00__BA,0,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,training_specificity,BA,pair_0000,4,3,plan_a,Plan A explicitly mentions trail-specific durability and incorporates trail running sessions.,pair_0000__gemma_4b_judge__r00__BA,0,True,gemma,programmatic
0.95,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,clarity_actionability,AB,pair_0000,4,3,plan_a,Plan A's daily summaries are more direct and easier to follow.,pair_0000__gemma_4b_judge__r01__AB,1,True,gemma,llm
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,endurance_development,AB,pair_0000,4,3,plan_a,"Plan A consistently builds long runs and aerobic volume, crucial for trail endurance.",pair_0000__gemma_4b_judge__r01__AB,1,True,gemma,llm
0.85,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,explanation_quality,AB,pair_0000,3,4,plan_b,Plan B provides slightly more descriptive rationale for each session.,pair_0000__gemma_4b_judge__r01__AB,1,True,gemma,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,load_progression,AB,pair_0000,3,4,plan_b,"Plan B has a slightly more gradual and varied load progression, including cross-training.",pair_0000__gemma_4b_judge__r01__AB,1,True,gemma,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,plan_coherence,AB,pair_0000,4,3,plan_a,Plan A's consistent focus on aerobic endurance and hill work creates a more cohesive plan.,pair_0000__gemma_4b_judge__r01__AB,1,True,gemma,llm
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,quality_session_design,AB,pair_0000,3,4,plan_b,"Plan B incorporates tempo runs, a key quality session for threshold development.",pair_0000__gemma_4b_judge__r01__AB,1,True,gemma,programmatic
0.75,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,readiness_alignment,AB,pair_0000,3,4,plan_b,Plan B's inclusion of cross-training suggests a greater consideration of recovery and readiness.,pair_0000__gemma_4b_judge__r01__AB,1,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,recovery_safety,AB,pair_0000,4,3,plan_a,"Plan A's rest days are strategically placed, minimizing consecutive hard sessions.",pair_0000__gemma_4b_judge__r01__AB,1,True,gemma,llm
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,training_specificity,AB,pair_0000,4,3,plan_a,Plan A's focus on trail running and hill work aligns strongly with the athlete's context.,pair_0000__gemma_4b_judge__r01__AB,1,True,gemma,llm
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,clarity_actionability,BA,pair_0000,4,3,plan_a,Plan A's daily summaries are more concise and directly state the purpose of each session.,pair_0000__gemma_4b_judge__r01__BA,1,True,gemma,programmatic
0.85,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,endurance_development,BA,pair_0000,4,3,plan_a,"Plan A prioritizes longer runs and consistent aerobic work, better supporting endurance.",pair_0000__gemma_4b_judge__r01__BA,1,True,gemma,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,explanation_quality,BA,pair_0000,3,2,plan_a,Plan A's explanations are more specific about the goals of each session.,pair_0000__gemma_4b_judge__r01__BA,1,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,,load_progression,BA,pair_0000,3,3,tie,"Both plans have a reasonable progression, but Plan A has a slightly more varied distribution.",pair_0000__gemma_4b_judge__r01__BA,1,True,gemma,tie
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,plan_coherence,BA,pair_0000,5,3,plan_a,"Plan A's structure feels more logical and flows better, with a clear progression.",pair_0000__gemma_4b_judge__r01__BA,1,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,quality_session_design,BA,pair_0000,4,3,plan_a,"Plan A includes a mix of long runs, tempo runs, and cross-training, offering varied quality sessions.",pair_0000__gemma_4b_judge__r01__BA,1,True,gemma,programmatic
0.7,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,,readiness_alignment,BA,pair_0000,3,3,tie,"Both plans lack specific readiness considerations, a common limitation.",pair_0000__gemma_4b_judge__r01__BA,1,True,gemma,tie
0.75,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,recovery_safety,BA,pair_0000,4,3,plan_a,"Plan A has a dedicated rest day and spacing of hard days, promoting recovery.",pair_0000__gemma_4b_judge__r01__BA,1,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,training_specificity,BA,pair_0000,4,3,plan_a,Plan A explicitly targets trail running and incorporates trail-specific workouts.,pair_0000__gemma_4b_judge__r01__BA,1,True,gemma,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,clarity_actionability,BA,pair_0000,4,3,plan_a,Plan A's daily summaries are more concise and directly state the purpose of each session.,pair_0000__gemma_4b_judge__r02__BA,2,True,gemma,programmatic
0.85,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,endurance_development,BA,pair_0000,4,3,plan_a,"Plan A prioritizes longer runs and consistent aerobic work, better supporting endurance.",pair_0000__gemma_4b_judge__r02__BA,2,True,gemma,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,explanation_quality,BA,pair_0000,3,2,plan_a,Plan A's explanations are more specific about the goals of each session.,pair_0000__gemma_4b_judge__r02__BA,2,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,,load_progression,BA,pair_0000,3,3,tie,"Both plans have a reasonable progression, but Plan A has a slightly more varied distribution.",pair_0000__gemma_4b_judge__r02__BA,2,True,gemma,tie
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,plan_coherence,BA,pair_0000,5,3,plan_a,"Plan A's structure feels more logical and flows better, with a clear progression.",pair_0000__gemma_4b_judge__r02__BA,2,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,quality_session_design,BA,pair_0000,4,3,plan_a,"Plan A includes a mix of long runs, tempo runs, and cross-training, offering varied quality sessions.",pair_0000__gemma_4b_judge__r02__BA,2,True,gemma,programmatic
0.7,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,,readiness_alignment,BA,pair_0000,3,3,tie,"Both plans lack specific readiness considerations, a common limitation.",pair_0000__gemma_4b_judge__r02__BA,2,True,gemma,tie
0.75,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,recovery_safety,BA,pair_0000,4,3,plan_a,"Plan A has a dedicated rest day and spacing of hard days, promoting recovery.",pair_0000__gemma_4b_judge__r02__BA,2,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,training_specificity,BA,pair_0000,4,3,plan_a,Plan A explicitly targets trail running and incorporates trail-specific workouts.,pair_0000__gemma_4b_judge__r02__BA,2,True,gemma,programmatic
0.95,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,clarity_actionability,AB,pair_0000,4,3,plan_a,Plan A's daily summaries are more direct and easier to follow.,pair_0000__gemma_4b_judge__r02__AB,2,True,gemma,llm
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,endurance_development,AB,pair_0000,4,3,plan_a,"Plan A consistently builds long runs and aerobic volume, crucial for trail endurance.",pair_0000__gemma_4b_judge__r02__AB,2,True,gemma,llm
0.85,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,explanation_quality,AB,pair_0000,3,4,plan_b,Plan B provides slightly more descriptive rationale for each session.,pair_0000__gemma_4b_judge__r02__AB,2,True,gemma,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,load_progression,AB,pair_0000,3,4,plan_b,"Plan B has a slightly more gradual and varied load progression, including cross-training.",pair_0000__gemma_4b_judge__r02__AB,2,True,gemma,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,plan_coherence,AB,pair_0000,4,3,plan_a,Plan A's consistent focus on aerobic endurance and hill work creates a more cohesive plan.,pair_0000__gemma_4b_judge__r02__AB,2,True,gemma,llm
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,quality_session_design,AB,pair_0000,3,4,plan_b,"Plan B incorporates tempo runs, a key quality session for threshold development.",pair_0000__gemma_4b_judge__r02__AB,2,True,gemma,programmatic
0.75,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,readiness_alignment,AB,pair_0000,3,4,plan_b,Plan B's inclusion of cross-training suggests a greater consideration of recovery and readiness.,pair_0000__gemma_4b_judge__r02__AB,2,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,recovery_safety,AB,pair_0000,4,3,plan_a,"Plan A's rest days are strategically placed, minimizing consecutive hard sessions.",pair_0000__gemma_4b_judge__r02__AB,2,True,gemma,llm
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,training_specificity,AB,pair_0000,4,3,plan_a,Plan A's focus on trail running and hill work aligns strongly with the athlete's context.,pair_0000__gemma_4b_judge__r02__AB,2,True,gemma,llm
0.95,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,clarity_actionability,AB,pair_0000,4,3,plan_a,Plan A's daily summaries are more direct and easier to follow.,pair_0000__gemma_4b_judge__r03__AB,3,True,gemma,llm
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,endurance_development,AB,pair_0000,4,3,plan_a,"Plan A consistently builds long runs and aerobic volume, crucial for trail endurance.",pair_0000__gemma_4b_judge__r03__AB,3,True,gemma,llm
0.85,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,explanation_quality,AB,pair_0000,3,4,plan_b,Plan B provides slightly more descriptive rationale for each session.,pair_0000__gemma_4b_judge__r03__AB,3,True,gemma,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,load_progression,AB,pair_0000,3,4,plan_b,"Plan B has a slightly more gradual and varied load progression, including cross-training.",pair_0000__gemma_4b_judge__r03__AB,3,True,gemma,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,plan_coherence,AB,pair_0000,4,3,plan_a,Plan A's consistent focus on aerobic endurance and hill work creates a more cohesive plan.,pair_0000__gemma_4b_judge__r03__AB,3,True,gemma,llm
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,quality_session_design,AB,pair_0000,3,4,plan_b,"Plan B incorporates tempo runs, a key quality session for threshold development.",pair_0000__gemma_4b_judge__r03__AB,3,True,gemma,programmatic
0.75,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,readiness_alignment,AB,pair_0000,3,4,plan_b,Plan B's inclusion of cross-training suggests a greater consideration of recovery and readiness.,pair_0000__gemma_4b_judge__r03__AB,3,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,recovery_safety,AB,pair_0000,4,3,plan_a,"Plan A's rest days are strategically placed, minimizing consecutive hard sessions.",pair_0000__gemma_4b_judge__r03__AB,3,True,gemma,llm
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,training_specificity,AB,pair_0000,4,3,plan_a,Plan A's focus on trail running and hill work aligns strongly with the athlete's context.,pair_0000__gemma_4b_judge__r03__AB,3,True,gemma,llm
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,clarity_actionability,BA,pair_0000,4,3,plan_a,Plan A's daily summaries are more concise and directly state the purpose of each session.,pair_0000__gemma_4b_judge__r03__BA,3,True,gemma,programmatic
0.85,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,endurance_development,BA,pair_0000,4,3,plan_a,"Plan A prioritizes longer runs and consistent aerobic work, better supporting endurance.",pair_0000__gemma_4b_judge__r03__BA,3,True,gemma,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,explanation_quality,BA,pair_0000,3,2,plan_a,Plan A's explanations are more specific about the goals of each session.,pair_0000__gemma_4b_judge__r03__BA,3,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,,load_progression,BA,pair_0000,3,3,tie,"Both plans have a reasonable progression, but Plan A has a slightly more varied distribution.",pair_0000__gemma_4b_judge__r03__BA,3,True,gemma,tie
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,plan_coherence,BA,pair_0000,5,3,plan_a,"Plan A's structure feels more logical and flows better, with a clear progression.",pair_0000__gemma_4b_judge__r03__BA,3,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,quality_session_design,BA,pair_0000,4,3,plan_a,"Plan A includes a mix of long runs, tempo runs, and cross-training, offering varied quality sessions.",pair_0000__gemma_4b_judge__r03__BA,3,True,gemma,programmatic
0.7,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,,readiness_alignment,BA,pair_0000,3,3,tie,"Both plans lack specific readiness considerations, a common limitation.",pair_0000__gemma_4b_judge__r03__BA,3,True,gemma,tie
0.75,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,recovery_safety,BA,pair_0000,4,3,plan_a,"Plan A has a dedicated rest day and spacing of hard days, promoting recovery.",pair_0000__gemma_4b_judge__r03__BA,3,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,training_specificity,BA,pair_0000,4,3,plan_a,Plan A explicitly targets trail running and incorporates trail-specific workouts.,pair_0000__gemma_4b_judge__r03__BA,3,True,gemma,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,clarity_actionability,BA,pair_0000,4,3,plan_a,Plan A's daily summaries are more concise and directly state the purpose of each session.,pair_0000__gemma_4b_judge__r04__BA,4,True,gemma,programmatic
0.85,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,endurance_development,BA,pair_0000,4,3,plan_a,"Plan A prioritizes longer runs and consistent aerobic work, better supporting endurance.",pair_0000__gemma_4b_judge__r04__BA,4,True,gemma,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,explanation_quality,BA,pair_0000,3,2,plan_a,Plan A's explanations are more specific about the goals of each session.,pair_0000__gemma_4b_judge__r04__BA,4,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,,load_progression,BA,pair_0000,3,3,tie,"Both plans have a reasonable progression, but Plan A has a slightly more varied distribution.",pair_0000__gemma_4b_judge__r04__BA,4,True,gemma,tie
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,plan_coherence,BA,pair_0000,5,3,plan_a,"Plan A's structure feels more logical and flows better, with a clear progression.",pair_0000__gemma_4b_judge__r04__BA,4,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,quality_session_design,BA,pair_0000,4,3,plan_a,"Plan A includes a mix of long runs, tempo runs, and cross-training, offering varied quality sessions.",pair_0000__gemma_4b_judge__r04__BA,4,True,gemma,programmatic
0.7,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,,readiness_alignment,BA,pair_0000,3,3,tie,"Both plans lack specific readiness considerations, a common limitation.",pair_0000__gemma_4b_judge__r04__BA,4,True,gemma,tie
0.75,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,recovery_safety,BA,pair_0000,4,3,plan_a,"Plan A has a dedicated rest day and spacing of hard days, promoting recovery.",pair_0000__gemma_4b_judge__r04__BA,4,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,training_specificity,BA,pair_0000,4,3,plan_a,Plan A explicitly targets trail running and incorporates trail-specific workouts.,pair_0000__gemma_4b_judge__r04__BA,4,True,gemma,programmatic
0.95,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,clarity_actionability,AB,pair_0000,4,3,plan_a,Plan A's daily summaries are more direct and easier to follow.,pair_0000__gemma_4b_judge__r04__AB,4,True,gemma,llm
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,endurance_development,AB,pair_0000,4,3,plan_a,"Plan A consistently builds long runs and aerobic volume, crucial for trail endurance.",pair_0000__gemma_4b_judge__r04__AB,4,True,gemma,llm
0.85,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,explanation_quality,AB,pair_0000,3,4,plan_b,Plan B provides slightly more descriptive rationale for each session.,pair_0000__gemma_4b_judge__r04__AB,4,True,gemma,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,load_progression,AB,pair_0000,3,4,plan_b,"Plan B has a slightly more gradual and varied load progression, including cross-training.",pair_0000__gemma_4b_judge__r04__AB,4,True,gemma,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,plan_coherence,AB,pair_0000,4,3,plan_a,Plan A's consistent focus on aerobic endurance and hill work creates a more cohesive plan.,pair_0000__gemma_4b_judge__r04__AB,4,True,gemma,llm
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,quality_session_design,AB,pair_0000,3,4,plan_b,"Plan B incorporates tempo runs, a key quality session for threshold development.",pair_0000__gemma_4b_judge__r04__AB,4,True,gemma,programmatic
0.75,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,readiness_alignment,AB,pair_0000,3,4,plan_b,Plan B's inclusion of cross-training suggests a greater consideration of recovery and readiness.,pair_0000__gemma_4b_judge__r04__AB,4,True,gemma,programmatic
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,recovery_safety,AB,pair_0000,4,3,plan_a,"Plan A's rest days are strategically placed, minimizing consecutive hard sessions.",pair_0000__gemma_4b_judge__r04__AB,4,True,gemma,llm
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,training_specificity,AB,pair_0000,4,3,plan_a,Plan A's focus on trail running and hill work aligns strongly with the athlete's context.,pair_0000__gemma_4b_judge__r04__AB,4,True,gemma,llm
0.95,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,clarity_actionability,AB,pair_0001,4,3,plan_a,"Plan A's sessions are more specific to trail running, while Plan B is more general. Plan A is easier to follow.",pair_0001__gemma_4b_judge__r00__AB,0,False,qwen,llm
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,endurance_development,AB,pair_0001,3,4,plan_b,"Plan B includes more consistent easy running volume, crucial for endurance.",pair_0001__gemma_4b_judge__r00__AB,0,False,qwen,programmatic
0.85,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,,explanation_quality,AB,pair_0001,3,3,tie,"Both plans offer basic explanations, but neither is particularly detailed or insightful.",pair_0001__gemma_4b_judge__r00__AB,0,False,qwen,tie
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,load_progression,AB,pair_0001,3,4,plan_b,"Plan B has a lower overall volume and more rest days, suggesting a more conservative load progression.",pair_0001__gemma_4b_judge__r00__AB,0,False,qwen,programmatic
0.95,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,plan_coherence,AB,pair_0001,4,3,plan_a,"Plan A's structure feels more logical, with a focus on building a base before introducing hills.",pair_0001__gemma_4b_judge__r00__AB,0,False,qwen,llm
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,quality_session_design,AB,pair_0001,3,4,plan_b,"Plan B includes a strength and mobility session, adding a valuable component to the plan.",pair_0001__gemma_4b_judge__r00__AB,0,False,qwen,programmatic
0.75,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,readiness_alignment,AB,pair_0001,3,4,plan_b,Plan B's more conservative approach and rest days align better with potential readiness constraints.,pair_0001__gemma_4b_judge__r00__AB,0,False,qwen,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,recovery_safety,AB,pair_0001,4,3,plan_a,"Plan A has more rest days and a lower overall volume, promoting better recovery.",pair_0001__gemma_4b_judge__r00__AB,0,False,qwen,llm
0.95,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,training_specificity,AB,pair_0001,5,3,plan_a,"Plan A is explicitly designed for trail running, with sessions focused on trail-specific skills and terrain.",pair_0001__gemma_4b_judge__r00__AB,0,False,qwen,llm
0.95,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,clarity_actionability,BA,pair_0001,4,3,plan_a,"Plan A's simple, repetitive structure is easier to follow and execute. Plan B's varied descriptions are slightly less clear.",pair_0001__gemma_4b_judge__r00__BA,0,False,qwen,programmatic
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,endurance_development,BA,pair_0001,3,4,plan_b,"Plan B includes more consistent trail running and longer durations, better supporting endurance development.",pair_0001__gemma_4b_judge__r00__BA,0,False,qwen,llm
0.85,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,,explanation_quality,BA,pair_0001,3,3,tie,"Both plans offer basic explanations, but neither is particularly detailed or insightful.",pair_0001__gemma_4b_judge__r00__BA,0,False,qwen,tie
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,load_progression,BA,pair_0001,3,4,plan_b,"Plan B's longer runs and slightly increased overall volume suggest a more progressive load, though both are relatively low.",pair_0001__gemma_4b_judge__r00__BA,0,False,qwen,llm
0.9,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,plan_coherence,BA,pair_0001,4,3,plan_a,Plan A's consistent 'build aerobic consistency' theme and simple structure create a stronger sense of coherence.,pair_0001__gemma_4b_judge__r00__BA,0,False,qwen,programmatic
0.75,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,True,quality_session_design,BA,pair_0001,3,4,plan_b,"Plan B's sessions are more specific (e.g., 'form and cadence' on the trail) and incorporate hill work, enhancing quality.",pair_0001__gemma_4b_judge__r00__BA,0,False,qwen,llm
0.7,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,,readiness_alignment,BA,pair_0001,3,3,tie,"Both plans appear to prioritize recovery, but neither explicitly addresses readiness or fatigue.",pair_0001__gemma_4b_judge__r00__BA,0,False,qwen,tie
0.8,ab_A1__r_high__rc_high__ph_base,gemma_4b_judge,gemma,False,recovery_safety,BA,pair_0001,4,3,plan_a,Plan A's two dedicated rest days and consistent easy running provide a safer recovery structure.,pair_0001__gemma_4b_judge__r00__BA,0,False,qwen,programmatic
